ee2136f72041f0fd023762a0c394ff 100 300 500   	0.0 0.0   	0.0 0.0   	 1.36633e-05 4.65091e-05
8d72944486fe1ba9309903820d4637 100 300 500   	0.0 0.0   	0.0 0.0   	 1.467e-05 4.71127e-05
8087c9f9072dd5404b5b85fe11370c 100 300 500   	0.0 0.0   	0.0 0.0   	 1.35967e-05 4.58712e-05
c7fa1850ae1132852e48672d75dadb 100 300 500   	0.0 0.0   	0.0 0.0   	 1.353e-05 4.63461e-05
a279d06968b9547cd2999122d31813 125 375 500   	0.0 0.0   	0.0 0.0   	 1.44533e-05 4.54688e-05
f2523194ca7438ef91d8d492cf8b1b 125 375 500   	0.0 0.0   	0.0 0.0   	 1.41467e-05 4.57183e-05
4f824801f2a83a85ec45f9adc68837 125 375 500   	0.0 0.0   	0.0 0.0   	 1.41733e-05 4.56097e-05
98e5bff051186c9a9d0b9a2d62473d 125 375 500   	0.0 0.0   	0.0 0.0   	 1.49307e-05 4.48632e-05
fdce53b5e274245bc843e7294f608e 156 468 500   	0.0 0.0   	0.0 0.0   	 1.61218e-05 5.79759e-05
84a60d9080d43ef9f88e42711b4eb0 156 468 500   	0.0 0.0   	0.0 0.0   	 1.60491e-05 5.78089e-05
aaf7c8ecf4842a758dce0815ab5498 156 468 500   	0.0 0.0   	0.0 0.0   	 1.59017e-05 5.79135e-05
0574d1310fbbd5e94435dc7fccbbe7 156 468 500   	0.0 0.0   	0.0 0.0   	 1.62073e-05 5.92918e-05
efb9e8b14a97a95f6a04567a20f9e6 195 585 500   	0.0 0.0   	0.0 0.0   	 1.74479e-05 5.8466e-05
e250a4aa5a158422f738320b02af21 195 585 500   	0.0 0.0   	0.0 0.0   	 1.69402e-05 5.7122e-05
39414a2911970cb264beb461e648c2 195 585 500   	0.0 0.0   	0.0 0.0   	 1.7453e-05 5.739e-05
12114e94e06c6cac09b9d860192c7e 195 585 500   	0.0 0.0   	0.0 0.0   	 1.69932e-05 5.6684e-05
d5bbe8f94f7d8c2d90d6b154797aa1 243 729 500   	0.0 0.0   	0.0 0.0   	 1.74705e-05 6.3406e-05
5d06ff88706d36a6f41b0146d0fd30 243 729 500   	0.0 0.0   	0.0 0.0   	 1.76337e-05 6.3234e-05
4ca04c5a8551a25f30251c87006404 243 729 500   	0.0 0.0   	0.0 0.0   	 1.75706e-05 6.3974e-05
db69601bff01e37d6de5a83a6c692e 243 729 500   	0.0 0.0   	0.0 0.0   	 1.73663e-05 6.4102e-05
e0cb70d8a0a0756b69dc01fc911745 303 909 500   	0.0 0.0   	0.0 0.0   	 1.9198e-05 7.2406e-05
f252b29dd55b57e443e17a74a3f087 303 909 500   	0.0 0.0   	0.0 0.0   	 1.89087e-05 7.031e-05
4f4fc6625b2746019a5cc5fb91e5c2 303 909 500   	0.0 0.0   	0.0 0.0   	 1.94378e-05 7.103e-05
a380aefca6be2816b47d383e7cc2ba 303 909 500   	0.0 0.0   	0.0 0.0   	 1.93091e-05 7.1376e-05
3786f987e76c278bbbb12ada2fb267 378 1134 500   	0.0 0.0   	0.0 0.0   	 2.03836e-05 7.1826e-05
40ccaa7dd391824b619e14bb709bf0 378 1134 500   	0.0 0.0   	0.0 0.0   	 2.02178e-05 7.1176e-05
31e505e9d157fa53b054d467067785 378 1134 500   	0.0 0.0   	0.0 0.0   	 2.01623e-05 6.994e-05
6c2aafa551b9743667888bbdf007dd 378 1134 500   	0.0 0.0   	0.0 0.0   	 2.03589e-05 7.307e-05
81dc87cbd1e0718136d48ec79af1da 472 1416 500   	0.0 0.0   	0.0 0.0   	 2.09873e-05 8.6134e-05
582e9be122d54de8e6699c89531817 472 1416 500   	0.0 0.0   	0.0 0.0   	 2.0923e-05 8.418e-05
0025e6dcbe8cbbde7daba03f3d4339 472 1416 500   	0.0 0.0   	0.0 0.0   	 2.07274e-05 8.3724e-05
b5b2fc6d7b65487e8831d7ca84f6e6 472 1416 500   	0.0 0.0   	0.0 0.0   	 2.04915e-05 8.389e-05
56fd1a36041bbd7ee2c6a6b9e3b307 590 1770 500   	0.0 0.0   	0.0 0.0   	 2.30955e-05 9.246e-05
59e121edabd8f7d132072ef366ff89 590 1770 500   	0.0 0.0   	0.0 0.0   	 2.29373e-05 8.9332e-05
e83a36b2558b8c97652d2cff2d91b2 590 1770 500   	0.0 0.0   	0.0 0.0   	 2.43316e-05 9.297e-05
bd44593f91fcdfd93b139781a886a7 590 1770 500   	0.0 0.0   	0.0 0.0   	 2.41401e-05 9.2504e-05
026b8d1a367107da288d902de891b9 737 2211 500   	0.0 0.0   	0.0 0.0   	 2.36617e-05 0.00010341
98bbec3e5e40dd0b08e73e6c9148ef 737 2211 500   	0.0 0.0   	0.0 0.0   	 2.45102e-05 0.000107816
d23bde76667dc457ee5baca71f1cc4 737 2211 500   	0.0 0.0   	0.0 0.0   	 2.36214e-05 0.000102226
2c8ba04ffa49e254296b3f04d19cda 737 2211 500   	0.0 0.0   	0.0 0.0   	 2.3697e-05 0.000101944
4b210f3fee897749e9b8c4f7224e60 921 2763 500   	0.0 0.0   	0.0 0.0   	 2.53894e-05 0.00010745
90e8672da95be6d5617a567dd3206e 921 2763 500   	0.0 0.0   	0.0 0.0   	 2.5536e-05 0.000108376
6ea3a63e33b3587dd46af64a37b87b 921 2763 500   	0.0 0.0   	0.0 0.0   	 2.5325e-05 0.000109488
c43549c9e4680eb9918627ffb0aa60 921 2763 500   	0.0 0.0   	0.0 0.0   	 2.63728e-05 0.000111512
f980b5e6dd70a61ed5d181263db6f3 1151 3453 500   	0.0 0.0   	0.0 0.0   	 3.00614e-05 0.00014809
11cc3306e6547f9cb21e0bc9af7916 1151 3453 500   	0.0 0.0   	0.0 0.0   	 3.03264e-05 0.000149226
336f0607fd640a0724aa2c7cdeb4c4 1151 3453 500   	0.0 0.0   	0.0 0.0   	 3.01674e-05 0.000149044
6feb6d63af92d58449dc36613f8199 1151 3453 500   	0.0 0.0   	0.0 0.0   	 2.97336e-05 0.000149698
d57fa61eae99099a0d0b6fcbc62523 1438 4314 500   	0.0 0.0   	0.0 0.0   	 3.17854e-05 0.000169746
8b5637ce3de927591e92df9ecd33c4 1438 4314 500   	0.0 0.0   	0.0 0.0   	 3.12605e-05 0.000166904
751d7273308d52e8d3c579de6840d2 1438 4314 500   	0.0 0.0   	0.0 0.0   	 3.1707e-05 0.000169392
c40f502ab80923e2716acb64434106 1438 4314 500   	0.0 0.0   	0.0 0.0   	 3.16982e-05 0.000169504
865052b1fc2994dfdafcd23ae26c01 1797 5391 500   	0.0 0.0   	0.0 0.0   	 3.26548e-05 0.000171558
0b30a017c6d0a46e969550be35baba 1797 5391 500   	0.0 0.0   	0.0 0.0   	 3.26218e-05 0.000175216
d3574adf24939bf6d010c9f303388d 1797 5391 500   	0.0 0.0   	0.0 0.0   	 3.46403e-05 0.00017559
05411bb9a2ba8da701face1ba54371 1797 5391 500   	0.0 0.0   	0.0 0.0   	 3.25609e-05 0.000170352
0a178050644ab982507faeda7350a1 2246 6738 500   	0.0 0.0   	0.0 0.0   	 3.83931e-05 0.000197304
94dd7f732a6a0e420ce5985f5de5d0 2246 6738 500   	0.0 0.0   	0.0 0.0   	 3.7435e-05 0.000196748
08bb56e955623020f1a83a40a1f0ad 2246 6738 500   	0.0 0.0   	0.0 0.0   	 3.94973e-05 0.000211436
07758653c9752f330402a99eef7d95 2246 6738 500   	0.0 0.0   	0.0 0.0   	 3.91627e-05 0.000200098
54a34c2d70e1fb9146f8f6dcd812bd 2807 8421 500   	0.0 0.0   	0.0 0.0   	 3.87192e-05 0.000234788
0325f109c5081ffc9eac9f20c81a56 2807 8421 500   	0.0 0.0   	0.0 0.0   	 3.95417e-05 0.00023916
eb7e660dec731fa5d48f0b4eff30ee 2807 8421 500   	0.0 0.0   	0.0 0.0   	 3.96787e-05 0.00024209
13309316017b3ce28d42db8edad042 2807 8421 500   	0.0 0.0   	0.0 0.0   	 4.0054e-05 0.00023655
685766d2c3670577bb6f994338e7c4 3508 10524 500   	0.0 0.0   	0.0 0.0   	 4.15635e-05 0.000269648
5098d4938d57d318c956a8e94d1a63 3508 10524 500   	0.0 0.0   	0.0 0.0   	 4.19632e-05 0.00027313
185e0f49570269d5db40f7efab0a82 3508 10524 500   	0.0 0.0   	0.0 0.0   	 4.17022e-05 0.0002711
1c6f1130e760b02b83994c8a375be5 3508 10524 500   	0.0 0.0   	0.0 0.0   	 4.33424e-05 0.000280506
6e38bbd292d4f50f2f31c3ee0008c4 4385 13155 500   	0.0 0.0   	0.0 0.0   	 4.75864e-05 0.00034972
ad148bdd2cc78d29ae2813cf7d9aee 4385 13155 500   	0.0 0.0   	0.0 0.0   	 4.65943e-05 0.000356348
5a44b0ce66f0565a84620c758ca5f3 4385 13155 500   	0.0 0.0   	0.0 0.0   	 4.61072e-05 0.000345714
734172df7dfb1cd97fb46db609793e 4385 13155 500   	0.0 0.0   	0.0 0.0   	 4.78143e-05 0.000354894
30a301e85eef57e086f772dab4fc62 5481 16443 500   	0.0 0.0   	0.0 0.0   	 4.83643e-05 0.000422314
7f8785addfe2e6064fe01d34c5e61e 5481 16443 500   	0.0 0.0   	0.0 0.0   	 4.91378e-05 0.000412266
9850676fbe469596725b6bee0f0fa1 5481 16443 500   	0.0 0.0   	0.0 0.0   	 4.78958e-05 0.000403894
5bb9842e29ec29b7e6554a7e26041a 5481 16443 500   	0.0 0.0   	0.0 0.0   	 4.87497e-05 0.000412198
4ecd35d175267d2a68ae7a8d24b986 6851 20553 500   	0.0 0.0   	0.0 0.0   	 5.07143e-05 0.00049458
31f8a58629d8817b171f91d7494acb 6851 20553 500   	0.0 0.0   	0.0 0.0   	 5.13391e-05 0.00049329
185a09daa48269386e0c4c6b8375cf 6851 20553 500   	0.0 0.0   	0.0 0.0   	 5.12769e-05 0.000507214
