a279d06968b9547cd2999122d31813 10 30 100   	0.00240833 0.00640009 0.00188014   	0.00272197 0.0102573 0.0026347   	0.00299013 0.00674035 8.48451e-05
8087c9f9072dd5404b5b85fe11370c 10 30 100   	0.001952 0.00633849 0.00202125   	0.0028686 0.0101139 0.00265824   	0.00304113 0.0074457 9.57324e-05
c7fa1850ae1132852e48672d75dadb 10 30 100   	0.00221427 0.00675925 0.00199794   	0.003271 0.00996526 0.0026232   	0.00302783 0.0073082 7.13803e-05
ee2136f72041f0fd023762a0c394ff 10 30 100   	0.00199343 0.00693021 0.0019888   	0.00310083 0.0104458 0.00289624   	0.00294413 0.00720035 7.11127e-05
f2523194ca7438ef91d8d492cf8b1b 10 30 100   	0.00242513 0.0069151 0.00219255   	0.00349207 0.0105797 0.00313635   	0.00354537 0.00640258 7.13803e-05
8d72944486fe1ba9309903820d4637 10 30 100   	0.0022029 0.00683622 0.00215024   	0.00301943 0.0111672 0.00286401   	0.00321693 0.00671173 7.02113e-05
84a60d9080d43ef9f88e42711b4eb0 12 36 100   	0.00229636 0.00681087 0.00189503   	0.00327517 0.0134417 0.00429985   	0.00308147 0.0096396 0.000115875
98e5bff051186c9a9d0b9a2d62473d 12 36 100   	0.00199339 0.00649511 0.00203665   	0.00315064 0.0141571 0.00400332   	0.00352167 0.0107287 0.000156319
fdce53b5e274245bc843e7294f608e 12 36 100   	0.00180703 0.00694531 0.00231692   	0.00312689 0.0138352 0.00482669   	0.00370906 0.0102326 0.000155111
4f824801f2a83a85ec45f9adc68837 12 36 100   	0.00237578 0.00743078 0.00219281   	0.00370572 0.0145798 0.00425903   	0.00311664 0.00981259 0.000115708
aaf7c8ecf4842a758dce0815ab5498 12 36 100   	0.00238375 0.0070666 0.00223794   	0.00370672 0.0144992 0.00472912   	0.00360286 0.0103599 0.000115708
0574d1310fbbd5e94435dc7fccbbe7 12 36 100   	0.00196083 0.0068176 0.00236525   	0.00347064 0.0147226 0.00483299   	0.00370811 0.0105059 0.000113444
12114e94e06c6cac09b9d860192c7e 15 45 100   	0.0022684 0.00736964 0.0023099   	0.00369816 0.0157587 0.0049147   	0.0036974 0.0120585 0.00014862
efb9e8b14a97a95f6a04567a20f9e6 15 45 100   	0.00179049 0.00782553 0.00230973   	0.00351624 0.0169831 0.00570827   	0.00383113 0.0120817 0.000152437
39414a2911970cb264beb461e648c2 15 45 100   	0.00272591 0.00814535 0.00255559   	0.00418322 0.0167253 0.00542606   	0.00420236 0.011835 0.00013407
5d06ff88706d36a6f41b0146d0fd30 15 45 100   	0.00271849 0.00818234 0.0025598   	0.00402402 0.0168985 0.00530932   	0.00330576 0.0126847 0.000125
d5bbe8f94f7d8c2d90d6b154797aa1 15 45 100   	0.00272591 0.00791907 0.00227383   	0.00401456 0.0167177 0.00542537   	0.00410896 0.0130026 0.000125225
e250a4aa5a158422f738320b02af21 15 45 100   	0.00272304 0.00772151 0.00274482   	0.00383742 0.0174032 0.00516334   	0.00437002 0.0127829 0.000122014
e0cb70d8a0a0756b69dc01fc911745 18 54 100   	0.00304981 0.0127595 0.0038664   	0.00547013 0.031591 0.00838145   	0.00547537 0.0257129 0.000184761
a380aefca6be2816b47d383e7cc2ba 18 54 100   	0.0033688 0.0125249 0.0044541   	0.00500859 0.0345331 0.00860936   	0.0053633 0.0271359 0.000155313
4ca04c5a8551a25f30251c87006404 18 54 100   	0.00360991 0.0144201 0.00440881   	0.00624441 0.0343861 0.00876882   	0.00537904 0.0258488 0.000155746
f252b29dd55b57e443e17a74a3f087 18 54 100   	0.00328376 0.0138187 0.00391424   	0.0057165 0.0333705 0.00933825   	0.00592526 0.0276515 0.000158358
4f4fc6625b2746019a5cc5fb91e5c2 18 54 100   	0.00295781 0.0137934 0.00410601   	0.00618593 0.0343919 0.00926525   	0.00604524 0.0265984 0.000155552
db69601bff01e37d6de5a83a6c692e 18 54 100   	0.00331865 0.0145139 0.00438696   	0.00532502 0.0337723 0.00929752   	0.00598093 0.0274017 0.000151672
582e9be122d54de8e6699c89531817 22 66 100   	0.00427348 0.0144501 0.00422765   	0.00636671 0.0289145 0.00888993   	0.00645633 0.0232178 0.00022542
40ccaa7dd391824b619e14bb709bf0 22 66 100   	0.00362445 0.0140005 0.00410596   	0.00690174 0.0308921 0.00914081   	0.00750415 0.0243527 0.000225304
81dc87cbd1e0718136d48ec79af1da 22 66 100   	0.00381038 0.0149982 0.00454341   	0.00708773 0.0309814 0.00988301   	0.00676685 0.0238838 0.000186304
6c2aafa551b9743667888bbdf007dd 22 66 100   	0.00348718 0.0152886 0.00463813   	0.00729744 0.0307304 0.00926525   	0.00680555 0.0243844 0.000169319
3786f987e76c278bbbb12ada2fb267 22 66 100   	0.00405055 0.0153028 0.00454333   	0.00648761 0.0318774 0.00991436   	0.00726983 0.0228379 0.000168812
31e505e9d157fa53b054d467067785 22 66 100   	0.00408438 0.0157381 0.00495777   	0.00697105 0.0309479 0.00936149   	0.00747071 0.0238226 0.00016571
59e121edabd8f7d132072ef366ff89 27 81 100   	0.004766 0.0141493 0.00536435   	0.00701 0.0298089 0.0101408   	0.00697732 0.02162 0.000225406
bd44593f91fcdfd93b139781a886a7 27 81 100   	0.00440835 0.0149649 0.00515323   	0.00708259 0.0305451 0.0095547   	0.0074023 0.0222295 0.000232058
e83a36b2558b8c97652d2cff2d91b2 27 81 100   	0.00432399 0.0148784 0.00503884   	0.00746264 0.0298202 0.0100532   	0.0071128 0.0227241 0.000174435
b5b2fc6d7b65487e8831d7ca84f6e6 27 81 100   	0.00474548 0.0153057 0.00490477   	0.00726899 0.0296903 0.00980735   	0.00704742 0.0228055 0.00017371
0025e6dcbe8cbbde7daba03f3d4339 27 81 100   	0.00431258 0.0151782 0.00563696   	0.00727014 0.03105 0.00915887   	0.00746667 0.0225533 0.000173449
56fd1a36041bbd7ee2c6a6b9e3b307 27 81 100   	0.0048703 0.01616 0.00568306   	0.00783053 0.032789 0.0105928   	0.00783399 0.0219166 0.000170768
